epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.702,0.78381,1.96454,1.18686,0.41056,0.54308,0.49389,0.41337,0.57197,2.22651,1.03591,0.000206653,0.000206653,0.000206653
2,238.409,0.74902,1.66912,1.14777,0.67502,0.5551,0.61468,0.51144,0.59389,1.62548,1.0555,0.00040677,0.00040677,0.00040677
3,340.956,0.72813,1.50404,1.12991,0.59665,0.57765,0.59568,0.50285,0.58344,1.65313,1.03766,0.000598636,0.000598636,0.000598636
4,445.476,0.74856,1.38962,1.14666,0.66716,0.67872,0.74194,0.62327,0.61191,1.30098,1.04768,0.000587875,0.000587875,0.000587875
5,546.383,0.71756,1.23388,1.11696,0.79445,0.64355,0.75019,0.63317,0.55478,1.11355,1.0262,0.0005755,0.0005755,0.0005755
6,651.807,0.70999,1.14888,1.12056,0.76262,0.76618,0.80725,0.69457,0.53131,0.98535,1.00632,0.000563125,0.000563125,0.000563125
7,750.433,0.70075,1.07739,1.10892,0.77869,0.72457,0.81141,0.71014,0.51658,0.96999,0.97769,0.00055075,0.00055075,0.00055075
8,853.892,0.68577,1.03117,1.1015,0.7346,0.74293,0.8136,0.71448,0.49977,0.89139,0.98832,0.000538375,0.000538375,0.000538375
9,953.937,0.66099,0.96479,1.08441,0.76488,0.7001,0.77794,0.67801,0.50299,1.0098,0.9894,0.000526,0.000526,0.000526
10,1056.53,0.66115,0.91342,1.08143,0.77333,0.78151,0.85397,0.75163,0.50054,0.80724,0.97541,0.000513625,0.000513625,0.000513625
11,1157.71,0.64551,0.89935,1.0761,0.82702,0.80283,0.87031,0.76843,0.46529,0.7052,0.95659,0.00050125,0.00050125,0.00050125
12,1261.61,0.63346,0.85176,1.07166,0.82795,0.77862,0.85769,0.76065,0.4701,0.74291,0.95658,0.000488875,0.000488875,0.000488875
13,1361.06,0.63239,0.83319,1.06497,0.89853,0.80423,0.90972,0.80406,0.46664,0.62441,0.95284,0.0004765,0.0004765,0.0004765
14,1465.44,0.62875,0.80661,1.06854,0.87326,0.79433,0.88127,0.79383,0.43985,0.66687,0.94347,0.000464125,0.000464125,0.000464125
15,1566.42,0.6199,0.8006,1.06395,0.85844,0.72837,0.83562,0.75059,0.45394,0.70955,0.94996,0.00045175,0.00045175,0.00045175
16,1669.28,0.61775,0.78198,1.06018,0.85346,0.80605,0.87789,0.78802,0.44015,0.63906,0.94473,0.000439375,0.000439375,0.000439375
17,1770.33,0.59547,0.74907,1.04572,0.90832,0.81206,0.90771,0.8227,0.42736,0.58644,0.92663,0.000427,0.000427,0.000427
18,1872.06,0.60226,0.74339,1.05785,0.82353,0.76202,0.86284,0.78376,0.43393,0.69453,0.92924,0.000414625,0.000414625,0.000414625
19,1973.7,0.59514,0.72588,1.04986,0.91989,0.80823,0.90989,0.82184,0.42263,0.57009,0.92695,0.00040225,0.00040225,0.00040225
20,2077.59,0.58447,0.70651,1.03929,0.89991,0.83366,0.91396,0.82994,0.41925,0.54463,0.92411,0.000389875,0.000389875,0.000389875
21,2179.78,0.58208,0.68007,1.04116,0.89499,0.83291,0.91307,0.82585,0.40884,0.54819,0.91926,0.0003775,0.0003775,0.0003775
22,2283.15,0.57661,0.66424,1.03873,0.92009,0.83469,0.92065,0.83799,0.41796,0.53536,0.92567,0.000365125,0.000365125,0.000365125
23,2382.74,0.57039,0.65622,1.03101,0.91255,0.86548,0.93557,0.85596,0.40689,0.501,0.91475,0.00035275,0.00035275,0.00035275
24,2486.69,0.57194,0.64011,1.0284,0.90392,0.84951,0.92746,0.84773,0.40791,0.53293,0.91498,0.000340375,0.000340375,0.000340375
25,2587.87,0.57002,0.63996,1.03823,0.90097,0.85672,0.92428,0.84727,0.39726,0.48757,0.91307,0.000328,0.000328,0.000328
26,2690.78,0.56175,0.63053,1.02028,0.89539,0.83285,0.91457,0.83728,0.3974,0.52622,0.91225,0.000315625,0.000315625,0.000315625
27,2789.37,0.56046,0.62941,1.02734,0.92541,0.83965,0.92744,0.84487,0.39779,0.48238,0.91064,0.00030325,0.00030325,0.00030325
28,2894.67,0.56063,0.61918,1.02757,0.89595,0.89164,0.93923,0.85874,0.3848,0.45898,0.90607,0.000290875,0.000290875,0.000290875
29,2994.89,0.54645,0.59488,1.01908,0.89493,0.85595,0.92974,0.85523,0.38186,0.4783,0.90158,0.0002785,0.0002785,0.0002785
30,3097.04,0.55054,0.59962,1.02234,0.87032,0.87397,0.92434,0.85108,0.38422,0.46914,0.89864,0.000266125,0.000266125,0.000266125
31,3197.49,0.54281,0.58026,1.02324,0.91387,0.86334,0.93514,0.85793,0.382,0.45209,0.90305,0.00025375,0.00025375,0.00025375
32,3295.33,0.53421,0.57404,1.01308,0.92121,0.85291,0.93556,0.8626,0.37489,0.46229,0.89739,0.000241375,0.000241375,0.000241375
33,3393.68,0.53401,0.56615,1.01045,0.92761,0.86119,0.93702,0.8612,0.38539,0.45694,0.91029,0.000229,0.000229,0.000229
34,3496.53,0.52522,0.55478,1.00854,0.89016,0.8742,0.92706,0.85868,0.37069,0.44279,0.89248,0.000216625,0.000216625,0.000216625
35,3596.19,0.52582,0.54884,1.00779,0.91082,0.88919,0.94223,0.87206,0.37056,0.42723,0.89726,0.00020425,0.00020425,0.00020425
36,3696.99,0.52222,0.54158,1.0084,0.89435,0.85606,0.93203,0.85984,0.37056,0.47041,0.8951,0.000191875,0.000191875,0.000191875
37,3796.52,0.52262,0.54732,1.0111,0.91089,0.88803,0.94153,0.87074,0.36142,0.43604,0.88803,0.0001795,0.0001795,0.0001795
38,3897.61,0.51669,0.53807,1.00715,0.92379,0.8898,0.94296,0.87374,0.37246,0.41912,0.90014,0.000167125,0.000167125,0.000167125
39,3995.35,0.52039,0.51888,1.00565,0.92531,0.88494,0.94509,0.87974,0.35782,0.40768,0.88678,0.00015475,0.00015475,0.00015475
40,4098.01,0.51776,0.5254,1.00375,0.91113,0.8928,0.94697,0.88311,0.35392,0.40833,0.88424,0.000142375,0.000142375,0.000142375
41,4251.12,0.33834,0.34538,0.86647,0.90913,0.90373,0.94702,0.87973,0.35479,0.42732,0.88327,0.00013,0.00013,0.00013
42,4348.49,0.33246,0.32706,0.86089,0.94057,0.86596,0.94817,0.87871,0.34849,0.40936,0.87622,0.000117625,0.000117625,0.000117625
43,4444.9,0.32513,0.31348,0.85461,0.92087,0.87984,0.94318,0.87298,0.34895,0.4231,0.88296,0.00010525,0.00010525,0.00010525
44,4540.9,0.32106,0.31159,0.8531,0.92532,0.88846,0.94919,0.88328,0.33874,0.37765,0.87691,9.2875e-05,9.2875e-05,9.2875e-05
45,4640.37,0.31931,0.29872,0.85556,0.92901,0.90371,0.95139,0.88407,0.34284,0.38682,0.87713,8.05e-05,8.05e-05,8.05e-05
46,4734.24,0.31225,0.29301,0.84922,0.9332,0.90554,0.95304,0.88543,0.33888,0.36836,0.87774,6.8125e-05,6.8125e-05,6.8125e-05
47,4831.75,0.30807,0.28574,0.84791,0.92435,0.89676,0.95031,0.88116,0.33865,0.3895,0.87824,5.575e-05,5.575e-05,5.575e-05
48,4925.7,0.30211,0.27537,0.84394,0.94354,0.88914,0.95219,0.88852,0.33579,0.36655,0.87549,4.3375e-05,4.3375e-05,4.3375e-05
49,5023.89,0.30202,0.26786,0.8403,0.94233,0.89041,0.95152,0.89075,0.33258,0.37393,0.87036,3.1e-05,3.1e-05,3.1e-05
50,5121.38,0.30008,0.26747,0.84354,0.94329,0.87918,0.95287,0.88919,0.3283,0.37095,0.86794,1.8625e-05,1.8625e-05,1.8625e-05
